country_name,country_code,edu_2001,edu_2002,edu_2003,edu_2004,edu_2005,edu_2006,edu_2007,edu_2008,edu_2009,edu_2010,edu_2011,edu_2012,edu_2013,edu_2014,edu_2015,edu_2016,edu_2017,edu_2018,edu_2019,income_group,university_count,tuition
Costa Rica,CRI,730139488.9,659594574.5,671390170.7,709378811.8,816286952.7,988949466.3,1240477816,1510376514,1843363238,2339315767,2742056192,3135609995,3471676576,3499721188,3762451374,3895001184,4090069234,4115755455,4271583169,High income,55,Standard
Cyprus,CYP,485686859.1,567554829.6,854007394.8,970945866,1032773125,1148994398,1375151223,1654245233,1646444228,1577703124,1680518606,1521848987,1495130777,1450326102,1203526787,1209368490,1206973062,1337911817,1334514929,High income,50,Standard
Czech Republic,CZE,2306443289,2931875859,3781963405,4332000000,4807700000,5894700000,6568200000,7969800000,7662100000,7584900000,8482200000,7975500000,7747088608,7364063198,9963006698,10293693090,7604907952,8675501790,8749335848,High income,59,Free
Germany,DEU,79015099249,84034364129,1.01E+11,1.16E+11,1.18E+11,1.25E+11,1.45E+11,1.6E+11,1.61E+11,1.62E+11,1.74E+11,1.69E+11,1.7E+11,1.77E+11,1.52E+11,1.57E+11,1.67E+11,1.81E+11,1.77E+11,High income,363,Free
Djibouti,DJI,43941123.54,48772027.58,54322158.62,60100028.6,57686622.68,61503926.7,68025896.83,80511303.83,83552545.02,89418723.76,97371279.41,107778576.9,157226898.5,170963298.4,187524352.4,196910063,204808475.1,223991791.3,252093336.3,Low income,1,Standard
Dominica,DMA,15754833.34,15263296.3,15814746.3,16693348.15,16763801.85,18762375.93,20087961.11,21992640.74,23770925.93,24219259.26,24523888.89,23823333.34,23939444.45,27769629.63,25962777.78,27971481.48,25432962.97,27597037.04,30082450,High income,0,No College
Denmark,DNK,12571200000,13692800000,16675200000,19530000000,20452200000,20820800000,23240400000,25204200000,25790400000,25963800000,28325700000,21548653153,27367316212,25235822602,21793186570,22710614837,24289079108,26295256734,25650413926,High income,26,Free
Dominican Republic,DOM,495106213.7,488526090.5,371850328.4,376969745.2,615561670.5,647162748.1,741795731.7,844152504.4,868072698.3,991982789.7,1090435072,1165638530,1504219782,1610606268,1718833327,1825217542,1919770581,2062342968,2138126057,High income,42,Standard
Algeria,DZA,2373810987,2436138915,2919092269,3651129573,4382593202,5047931028,5941370148,7594232520,6075386016,7192184916,8845047288,9202422936,9202422936,9336438804,7236856872,7058169048,7504888608,7638904476,7504888608,Low income,91,Standard
Ecuador,ECU,336920898,469494344.2,615714754,785386801.8,1004196564,1259284309,1503482029,2013698458,2210818511,2660483912,3122713720,3402885763,3680921473,3930000000,3831799400,3852525513,4008600000,4126500000,4126500000,High income,59,Standard
Egypt,EGY,4312145946,3760125836,3536896154,3466075797,3941202459,4764015648,5822685792,7234245984,8337027384,9483920040,10145588880,12042372888,12395262936,13145154288,14292046944,14468491968,10189700136,10719035208,12880486752,Low income,57,Free
Spain,ESP,23707700000,26625400000,33944400000,40492000000,43548000000,47120000000,55440000000,64780000000,64824000000,61740000000,64525000000,53710000000,55305011321,55840441808,48687392700,49631234660,52298952264,56690467339,55892010053,High income,75,Free
Estonia,EST,279831344.9,344751884.3,470646449.6,536566418.4,616360634,710028320.2,880034458,1238099546,997507265.9,1011897567,1059458100,967336617.7,1053425544,1060440631,1078554438,1153152400,1211869939,1386553507,1420711286,High income,16,Standard
Ethiopia,ETH,194685653,181674937.5,226348020.9,298002638.6,404965356.9,547204382.6,727734656.2,1034717675,1017226180,882837017.9,1166927747,1573008856,1369193180,1579024793,1977699777,2276755204,2499076880,2579223080,2930663015,Low income,36,Standard
Finland,FIN,7030500000,7770000000,9627361118,11183800000,11577200000,11979300000,13621000000,15504000000,15385600000,15296400000,16615200000,17550000000,18189687676,18233096552,14999913067,15058497427,14762306288,16035917027,15630677246,High income,35,Free
Fiji,FJI,86649927.17,102177998.1,132780502.2,162772856.3,174820690.2,164109509.5,175848149.8,175093481.4,139159336.7,141157802.7,161343116,159996796.2,162481822.5,183181813.3,173952591.6,184236167,194996910.4,206515613.6,199555288.9,High income,3,Standard
France,FRA,68320000000,74141000000,96534000000,1.08E+11,1.1E+11,1.15E+11,1.32E+11,1.45E+11,1.41E+11,1.38E+11,1.46E+11,1.37E+11,1.41E+11,1.44E+11,1.23E+11,1.24E+11,1.3E+11,1.4E+11,1.37E+11,High income,232,Free
"Micronesia, Federated States of",FSM,58130867.81,58306713.57,58878153.19,58380364.63,61111928.27,61927524.59,63124561.12,63885811.13,70120159.79,72660353.53,75814471.53,80954639.95,80977867.09,81437778.63,88809430.13,91443619.36,98427001.92,97397422.91,107359266.8,Low income,0,No College
Gabon,GAB,134442675.3,148545727,177393359.3,201252832.9,263919213.8,274389534.9,325112081.8,410244800.4,328529606.8,382024594.1,480763466.7,472983331,486263744.8,528041259.8,403574796.8,395807184.5,427963330.3,482102154,474640706.1,High income,23,Standard
United Kingdom,GBR,62184478417,76644093465,92976594281,1.05E+11,1.22E+11,1.28E+11,1.48E+11,1.4E+11,1.19E+11,1.37E+11,1.38E+11,1.41E+11,1.48E+11,1.67E+11,1.59E+11,1.43E+11,1.42E+11,1.52E+11,1.52E+11,High income,166,Standard
Georgia,GEO,114419368.1,111880392.3,121517418.5,145056708.3,171035768,197323507,239762894.5,280369022.6,220285910.9,229355013.8,258395130,287161654.3,296955147.2,306190780.4,257228409.9,254150310.6,271875996.8,297704117.4,293908272.5,High income,47,Standard
Ghana,GHA,283772111.1,357182648.2,476671219.1,594798438.5,679266078.7,881582611.2,1083771459,1430958657,1237997465,1481834229,3110127133,3130078989,3566639874,2203629881,2033900266,2290275010,2437556104,2727802144,2781155594,Low income,69,Standard
Guinea,GIN,55670095.84,70021628.09,73942873.9,69287554.74,48007686.88,64957374.01,80993389.02,72200866.18,220691343.9,248692333.4,215516608.4,193914483.6,244723633,186341827.9,194077341.3,191764254.4,210038417.4,247748978.7,244715749.8,Low income,1,Standard
Gambia,GMB,9293206.762,8247482.499,7469764.657,16048681.48,18107189.33,19525880.25,24998668.69,32106040.19,28300726.55,37229300.74,36787983.65,33812222.38,35801976.23,31933050.01,35780374.72,38749687.02,39277842.07,43663140.76,47409255.62,Low income,2,Standard
Guinea-Bissau,GNB,8003533.637,8351545.593,9137735.557,9790154.943,10324041.38,10039171.51,11289713.09,13206611.79,11992634.4,11678098.76,14381408.44,13726259.19,11902214.36,12670688.03,12456213.38,14021406.27,15694018.48,16860600.97,17052214.41,Low income,0,No College
Equatorial Guinea,GNQ,5582356.12,8213804.305,9242053.638,14814603.01,41730136.95,79395326.09,104507464.7,146368321.2,99388504.07,95784558.59,138192195.6,148442320.6,150038619.8,147963867.4,99450176.98,87099383.27,89835311.17,100269803.8,83299168.24,High income,1,Standard
Grenada,GRD,21123888.56,20103804.09,20269718.06,20022195.83,25015805.55,25118093.06,26909680.56,29372412.5,26558675,27417586.11,28008120.83,28709998.61,30488306.94,31074626.39,33002690.28,36173140.28,37652055.56,39483822.23,41082811.13,High income,1,Standard
Guatemala,GTM,371969233.9,439598780.2,497063570.1,577355384.4,695875984.2,813791107.2,955574915.1,1094438967,1050043281,1141710787,1344397942,1427927432,1469999293,1670630207,1813044949,1895243897,2020678260,2121770182,2332965786,High income,15,Standard
Guyana,GUY,47174270.43,51543528.6,45613128.7,40442932.57,62504037.53,110457173.1,94377318.2,99493568,98871611.02,116464421.8,115616537,119342042.2,122533198.6,121305989.5,125692488.3,130760001.3,138311554.2,138989121.8,149712092.7,High income,7,Standard
Hong Kong,HKG,5693202542,5905777458,5960173735,6363092433,6236262045,6099221448,6298442536,6205081715,6251859331,7019144977,7160768727,7549434755,7975154760,8429256098,8940120104,9337458776,10103754784,10756525459,10813288126,High income,11,Standard
Honduras,HND,299941542.4,320784475.1,347984775.4,387782081.6,446690793.9,518836709,619629213.5,723071390.5,793409929.7,866323587.3,992326225.9,1052403999,1081003128,1142054867,1228882311,1269606162,1365393017,1393809885,1456790514,Low income,12,Standard
Croatia,HRV,795433589.3,928908739.6,1254742850,1521539634,1668291157,1871533471,2259532566,2888807603,2520826077,2382235922,2561318486,2385791398,2564121291,2438487531,2041480107,1990059789,2076042761,2298997894,2298002764,High income,43,Standard
Haiti,HTI,92412819.05,88349037.98,70342721.65,88059034.48,104493914.4,109985281.4,139221881.4,153338570.8,169695033.1,173667610.3,190695186,201174027.9,218283122.6,222000968.9,217403011,205151485.8,220622744.7,241250236.4,216843316.4,Low income,25,Standard
Hungary,HUN,2379630322,3130848871,4560913031,5192089368,5586200000,5711600000,6812000000,7488800000,6050000000,5733000000,6034500000,5109480429,5428007067,5924053673,5261997427,5510450832,5931722778,6667775969,6884262202,High income,41,Standard
Indonesia,IDN,2644968172,3625060350,4742251112,5607451955,6743344032,9316852697,11840400000,13333200000,17036700000,18742500000,24824800000,27206000000,26992500000,25874911740,27193516875,29481432958,32128878711,33011360629,35626121867,Low income,582,Standard
India,IND,19047995645,19003438197,20970305698,22676277700,25478200000,28736400000,37268000000,36652000000,40964000000,51128000000,55748000000,55748000000,56364000000,62216000000,64064000000,69300000000,80696000000,82236000000,87472000000,Low income,888,Standard
Ireland,IRL,3929051235,4729400000,6475200000,8183000000,8838900000,9764300000,11533500000,13509000000,13336900000,12369000000,12939800000,12266800000,11973162401,11847745671,10184711528,10360543414,11136529160,12476261991,12978661803,High income,28,Standard
