country_name,country_code,gpc_2001,gpc_2002,gpc_2003,gpc_2004,gpc_2005,gpc_2006,gpc_2007,gpc_2008,gpc_2009,gpc_2010,gpc_2011,gpc_2012,gpc_2013,gpc_2014,gpc_2015,gpc_2016,gpc_2017,gpc_2018,gpc_2019
Greenland,GRL,19275.47,20652.88,27459.76,32023.45,32489.78,35458.12,39780.95,44367.06,44918.56,43988.33,47186.98,45936.77,47535.59,50484.93,44536.4,48181.87,50766.6,54545.3,53256.24
Grenada,GRD,5041.01,5213.8,5682.71,5741.65,6645.99,6658.22,7212.99,7832.35,7290.83,7258.17,7291.74,7444.09,7789.63,8370.04,9096.54,9628.26,10152.83,10466.88,10834.5
Guam,GUM,0.0,21594.04,22628.28,24472.78,26596.21,26713.06,27680.55,29288.78,30320.54,31040.08,31210.47,32908.31,33656.45,34843.21,35829.25,36214.01,36601.92,36556.67,38040.59
Guatemala,GTM,1550.36,1682.99,1737.88,1859.1,2068.5,2251.09,2490.75,2802.46,2651.82,2852.55,3228.05,3355.04,3522.77,3779.64,3994.64,4173.3,4454.05,4478.42,4638.63
Guinea,GIN,336.15,343.6,393.74,407.3,322.42,453.4,659.99,715.1,674.09,672.42,651.14,717.05,769.0,787.24,769.26,732.29,855.58,955.11,1052.59
Guinea-Bissau,GNB,319.96,333.06,372.06,405.08,436.48,430.0,493.72,600.0,559.41,558.17,703.66,616.38,634.66,623.31,603.4,661.46,738.55,802.77,749.45
Guyana,GUY,955.67,974.95,997.21,1056.42,1105.51,3188.67,3658.48,4050.79,4233.77,4580.7,4908.57,5378.81,5489.14,5407.15,5576.83,5811.4,6124.95,6145.82,6609.51
Haiti,HTI,735.52,692.03,542.33,667.28,781.28,804.52,1002.89,1086.94,1183.6,1191.97,1287.95,1337.34,1432.84,1435.14,1386.85,1290.38,1369.06,1479.35,1312.77
Honduras,HND,1133.19,1134.06,1158.18,1217.82,1308.09,1430.06,1583.05,1739.35,1789.71,1904.35,2088.32,2144.34,2102.59,2206.05,2302.2,2342.58,2453.73,2510.32,2574.36
"Hong Kong SAR, China",HKG,25230.22,24665.89,23977.02,24928.1,26649.75,28224.22,30594.02,31515.66,30697.34,32550.0,35142.49,36730.88,38403.78,40315.29,42431.89,43733.92,46160.43,48537.57,48356.06
Hungary,HUN,5276.03,6655.33,8421.1,10303.7,11225.93,11493.1,13944.97,15777.19,13081.79,13223.08,14240.26,12989.18,13719.95,14298.83,12720.71,13107.38,14623.7,16427.37,16735.66
Iceland,ISL,28897.44,32409.22,39476.7,47334.93,56794.85,57492.93,69495.73,56943.37,41301.27,43237.07,47714.59,45995.55,49804.98,54576.74,52951.68,61987.93,72010.15,74469.8,68941.46
India,IND,451.57,470.99,546.73,627.77,714.86,806.75,1028.33,998.52,1101.96,1357.56,1458.1,1443.88,1449.61,1573.89,1605.61,1732.55,1980.67,1998.26,2072.24
Indonesia,IDN,748.26,900.18,1065.65,1150.26,1263.29,1589.8,1860.0,2166.85,2261.25,3122.36,3643.05,3694.36,3623.93,3491.64,3331.7,3562.82,3837.58,3893.86,4135.23
"Iran, Islamic Rep.",IRN,1909.41,1911.68,2253.94,2756.2,3246.05,3774.36,4904.67,5717.31,5709.95,6599.66,8389.27,8525.77,6443.03,5943.05,5200.68,5755.8,6032.07,4046.34,3514.04
Iraq,IRQ,1494.39,1320.73,854.83,1391.96,1855.52,2373.21,3182.84,4636.64,3853.83,4657.28,6045.49,6836.07,7076.55,6637.68,4688.32,4550.66,4985.45,5915.85,5943.46
Ireland,IRL,28282.41,32705.43,41203.53,47754.2,50933.02,54329.16,61396.42,61353.11,52133.09,48655.37,52177.11,49026.02,51533.03,55599.85,62012.48,62861.64,69774.03,79107.6,80886.62
Isle of Man,IMN,21351.12,24864.44,29522.28,35494.67,37766.68,42107.84,54196.3,70986.3,65029.02,69767.34,77349.23,79148.33,83357.13,92334.65,85126.97,82197.13,83477.83,89112.67,86481.55
Israel,ISR,20316.25,18439.65,18991.38,19910.61,20585.14,21853.14,24952.55,29650.77,27780.46,30780.02,33775.51,32667.61,36499.46,37847.65,35808.44,37330.26,40774.13,42063.45,43951.25
Italy,ITA,20500.95,22376.3,27526.32,31317.2,32055.09,33529.73,37870.75,40944.91,37226.76,36035.64,38649.64,35051.52,35560.08,35565.72,30242.39,30960.73,32406.72,34622.17,33673.48
Jamaica,JAM,3437.66,3609.2,3480.51,3733.8,4103.6,4331.29,4623.75,4928.13,4335.18,4704.05,5111.47,5209.86,4989.73,4834.28,4907.93,4843.75,5070.1,5359.99,5369.5
Japan,JPN,34406.18,32820.79,35387.04,38298.98,37812.9,35991.55,35779.02,39876.3,41309.0,44968.16,48760.08,49145.28,40898.65,38475.4,34960.64,39375.47,38834.05,39727.12,40458.0
Jordan,JOR,1720.36,1802.06,1876.26,2044.96,2183.39,2513.03,2735.38,3455.77,3559.69,3736.65,3852.89,3910.35,4044.43,4131.45,4164.11,4175.36,4231.52,4308.15,4405.49
Kazakhstan,KAZ,1490.93,1658.03,2068.12,2874.29,3771.28,5291.58,6771.41,8458.02,7165.22,9070.49,11634.0,12386.7,13890.63,12807.26,10510.77,7714.84,9247.58,9812.63,9812.6
Kenya,KEN,395.33,389.54,429.79,451.67,511.62,685.95,825.67,902.07,1035.34,1080.3,1085.49,1271.82,1354.82,1462.22,1464.55,1525.24,1633.49,1794.09,1909.3
Kiribati,KIR,735.07,826.92,1015.67,1131.15,1214.64,1168.47,1374.4,1428.13,1312.02,1508.79,1724.98,1782.92,1710.59,1625.99,1535.16,1586.34,1648.59,1693.95,1512.95
"Korea, Dem. People's Rep.",PRK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Korea, Rep.",KOR,11561.25,13165.07,14672.86,16496.12,19402.5,21743.48,24086.41,21350.43,19143.85,23087.23,25096.26,25466.76,27182.73,29249.58,28732.23,29288.87,31616.84,33436.92,31902.42
Kosovo,XKX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2965.45,2847.56,3009.56,3540.89,3410.86,3704.78,3902.68,3520.77,3759.56,4009.38,4384.05,4416.11
