"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bahrain","BHR","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","141183680.31015","169600474.161034","179130505.450009","184649271.839712","186995730.711771","161748357.586025","130877348.428678","137804243.09","150478723.416","157643617.005","200309840.415","168260638.315","176980053.197","185236170.223","207675010.374","208460642.544","212682666.21","226184158.764","262621898.725617","264649167.980359","351219359.0224","327101252.077801","325162233.900614","358903904.3403","402135541.194193","467297742.113545","509167314.1845","542212239.899","634553007.6672","543752900.731726","638356055.72565","705970305.863674","865489653.75","912098876.0799","924073781.4906","853058884.4718","885789295.2171","974387960.094","1039628457.453","1059005497.3299","939062417.547","",
"Bahamas, The","BHS","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","16812139.8192","17905489.8","18451303.2","20949990.6","21851758.5","27053027.1","18694500","20770200","23251800","33619157.7412","40615859.2","43637205.6000001","50125261.6","55896158","66545472.0000001","76795344.8116001","83077914.4","92896931.9291999","98405120.0000001","109983772.8","113573980.8","112465928.96","116080598.4","113671841.6","119724418.4","148904071.426","169582446.9136","237030874.56","254519676.32","289858976.92","304403572.12","311409679.08","333575032.3044","334374950.52","341904233.32","370294013.5668","381613433","398393799.44","401459210.96","377485943.84","379274100.56","379046649.48","400479598.72","391116515.56","410667719.44","437096537.68","438661462.48","453146222.32","460377095.44","481070541","359584431.52","",
"Bosnia and Herzegovina","BIH","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","779400000","","","","977251550","701136395.544","679547101.542","758816553.323457","821740329.321055","656069037.627938","685149298.678743","665814036.914165","788698685.721028","968107764.103186","1255727395.4046","1688677368.7914","2103539190.1071","2184994306.3307","2779862732.43707","2189456273.532","2774972143.4985","2754497321.7993","3063043393.3584","3556336589.02","3585480109.6072","2573943573.50034","2266976957.65653","2476338808.25552","2720370778.05727","2938423341.78228","2715150632.62125","",
"Belize","BLZ","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","2162874.25158","2382036.29685941","2640260.253125","3104867.79429634","3864615.78367954","4425226.96662502","3702436.61291258","4686592.65525","5416454.6975","6127495.0825","8197384.77122127","8122166.414646","7415997.58900093","7804847.13033333","8644659.56408884","9326212.1642","8931795.69601568","11685240.8367765","13338735.1214011","15273956.2796733","18328571.3341891","19154113","21151607.4","23832833.2","28893953.4","32283964.8","30147556.25","30299589.6","33933561.6430418","35616593.6743432","39893675.52","40145593.425","43357584.2400001","45598985.25","47666764.95","52653673.7785711","60312849.5428572","64374475.1785719","71339135.6285713","76578921.7214289","80160152.2928569","91361059.501","91806551.7677003","93307499.0667","97737290.3979","103917438.3249","107256411.2232","110759766.3603","112441621.3893","116238479.7699","100810607.9283","",
"Bermuda","BMU","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","142394700","127261639.585502","121994543.990816","114788207.20849","104035939.293463","98460594.7677072","101346457.704181","106195354.155036","106537580.301615","108376297.786623","100579430.388102","",
"Bolivia","BOL","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","102618392.304","120092778.716","106589050.014548","148366515.78","183344122.529","159806151.057","155303714.34","148013561.068244","168310499.566889","146367965.138294","106750448.040539","118335121.499249","121318830.5","93594449.487","162973041.855898","179813456.646767","192159753.253066","195073620.660502","272540978.669","325430935.55","337872009.003","371547161.8395","408431886.478","395546016.5466","393091525.2342","431412530.9952","476678604.8704","492506837.6346","499968415.518397","512755400.784894","577051405.7904","731320003.893278","1026373447.8984","1228297766.2538","1352646270.1388","1505011678.0185","1542140161.30917","1744968206.12035","1902932281.3088","1937884511.1296","2025869999.2","2213058943.9712","2390169165.2192","2434943949.68","2197110200.7264","",
"Brazil","BRA","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","1501928756.85683","1752280062.55029","2090295462.25533","2351424238.05","3743253176","4391123918","4350000000","5190000000","6272000000","7008000000","7945000000","10120000000","11481000000","5921000000","5516000000","7174000000","10496000000","11966952433","13314000000","16652554212","17610187620","15524770665","14922316878","16636993041","23959123683","32594000000","34994144880","36135258300","39130412515.9973","21640800000","24715600000","20704400000","18290300000","20585050000","25350000000","38017400000","51732000000","66445000000","85140000000","88020000000","115346000000","139995000000","132960000000","135223595395.461","136724850927.149","107903098010.868","109824888225.945","126975964347.533","116918462220.996","115032680572.27","89260331373.0182","",
"Barbados","BRB","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","89388851.5034641","98246468.7418988","104514036.858773","116446972.049522","125381122.391809","108969074.72","130260498.1686","136674329.035672","142228339.713092","145781026.057002","154911228.52343","164629068.130359","133389016.375656","114355665.4821","128949225","154312760","161028945","175921460","187679460","202269750","213107153.099999","233730134.3","227860207.09","239425107.6","255363310.23","243358198.56","239186456.74","259343668.655853","278115691.745434","245535407.5875","217803292.121907","207692869.969285","212142253.951839","219742322.562511","184982666.067774","",
"Brunei Darussalam","BRN","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125389655.118","126739862.064","125856679.802","146424186.615","168333952.232","118844672.901024","137647796.269863","148742813.000669","151119223.146582","202557361.4","218960000","218441980.3384","194861941.417361","193881659.803441","207015005.493449","235855103.1214","270215270.740801","306726598.273477","309352667.773728","339807530.10288","236287656.939741","276219948.6669","424837557.640728","498860670.112286","538598852.609151","570014890.687312","497533111.542041","488232254.172173","512674430.888646","544702386.242071","551857369.694106","493485655.046475","",
