country_name,country_code,p_2001,p_2002,p_2003,p_2004,p_2005,p_2006,p_2007,p_2008,p_2009,p_2010,p_2011,p_2012,p_2013,p_2014,p_2015,p_2016,p_2017,p_2018,p_2019,income_group
Singapore,SGP,4138012.0,4175950.0,4114826.0,4166664.0,4265762.0,4401365.0,4588599.0,4839396.0,4987573.0,5076732.0,5183688.0,5312437.0,5399162.0,5469724.0,5535002.0,5607283.0,5612253.0,5638676.0,5703569.0,High income
Solomon Islands,SLB,423949.0,435434.0,447016.0,458549.0,469918.0,481086.0,492133.0,503366.0,515182.0,527861.0,541522.0,556066.0,571329.0,587079.0,603133.0,619438.0,636030.0,652856.0,669821.0,Low income
Sierra Leone,SLE,4754069.0,4965770.0,5201074.0,5433995.0,5645629.0,5829240.0,5989641.0,6133599.0,6272735.0,6415636.0,6563238.0,6712586.0,6863975.0,7017153.0,7171909.0,7328846.0,7488427.0,7650149.0,7813207.0,Low income
El Salvador,SLV,5927001.0,5962139.0,5994075.0,6023801.0,6052124.0,6079395.0,6105810.0,6131767.0,6157678.0,6183877.0,6210567.0,6237922.0,6266076.0,6295124.0,6325121.0,6356137.0,6388124.0,6420740.0,6453550.0,Low income
San Marino,SMR,27818.0,28175.0,28561.0,28942.0,29324.0,29694.0,30068.0,30434.0,30825.0,31221.0,31655.0,32103.0,32554.0,32941.0,33270.0,33503.0,33671.0,33784.0,33864.0,High income
Somalia,SOM,9186719.0,9501335.0,9815412.0,10130251.0,10446856.0,10763904.0,11080122.0,11397188.0,11717691.0,12043886.0,12376305.0,12715487.0,13063711.0,13423571.0,13797204.0,14185635.0,14589165.0,15008225.0,15442906.0,Low income
Serbia,SRB,7503433.0,7496522.0,7480591.0,7463157.0,7440769.0,7411569.0,7381579.0,7350222.0,7320807.0,7291436.0,7234099.0,7199077.0,7164132.0,7130576.0,7095383.0,7058322.0,7020858.0,6982604.0,6945235.0,High income
Sao Tome and Principe,STP,144760.0,147450.0,150405.0,153736.0,157472.0,161676.0,166297.0,171122.0,175877.0,180372.0,184521.0,188394.0,192076.0,195727.0,199439.0,203221.0,207086.0,211032.0,215048.0,Low income
Suriname,SUR,476574.0,482228.0,487938.0,493680.0,499461.0,505292.0,511181.0,517122.0,523113.0,529126.0,535177.0,541247.0,547295.0,553278.0,559136.0,564883.0,570501.0,575987.0,581363.0,High income
Slovakia,SVK,5378867.0,5376912.0,5373374.0,5372280.0,5372807.0,5373054.0,5374622.0,5379233.0,5386406.0,5391428.0,5398384.0,5407579.0,5413393.0,5418649.0,5423801.0,5430798.0,5439232.0,5446771.0,5454147.0,High income
Slovenia,SVN,1992060.0,1994530.0,1995733.0,1997012.0,2000474.0,2006868.0,2018122.0,2021316.0,2039669.0,2048583.0,2052843.0,2057159.0,2059953.0,2061980.0,2063531.0,2065042.0,2066388.0,2073894.0,2088385.0,High income
Sweden,SWE,8895960.0,8924958.0,8958229.0,8993531.0,9029572.0,9080505.0,9148092.0,9219637.0,9298515.0,9378126.0,9449213.0,9519374.0,9600379.0,9696110.0,9799186.0,9923085.0,10057698.0,10175214.0,10278887.0,High income
Swaziland,SWZ,1013608.0,1019054.0,1022796.0,1026287.0,1030575.0,1036095.0,1042651.0,1049948.0,1057462.0,1064841.0,1072029.0,1079285.0,1086843.0,1095022.0,1104038.0,1113994.0,1124808.0,1136274.0,1148133.0,Low income
Seychelles,SYC,81202.0,83723.0,82781.0,82475.0,82858.0,84600.0,85033.0,86956.0,87298.0,89770.0,87441.0,88303.0,89949.0,91359.0,93419.0,94677.0,95843.0,96762.0,97625.0,High income
Syrian Arab Republic,SYR,16766555.0,17084628.0,17415214.0,17827827.0,18361178.0,19059257.0,19878257.0,20664037.0,21205873.0,21362541.0,21081814.0,20438861.0,19578466.0,18710711.0,17997411.0,17465567.0,17095669.0,16945062.0,17070132.0,Low income
Turks and Caicos Islands,TCA,21578.0,23230.0,25008.0,26709.0,28181.0,29394.0,30383.0,31200.0,31933.0,32658.0,33371.0,34067.0,34733.0,35371.0,35979.0,36558.0,37116.0,37667.0,38194.0,High income
Chad,TCD,8678049.0,9019226.0,9373913.0,9734761.0,10096630.0,10457122.0,10818031.0,11183589.0,11560142.0,11952134.0,12360986.0,12784748.0,13220433.0,13663562.0,14110971.0,14561658.0,15016761.0,15477727.0,15946882.0,Low income
Togo,TGO,5062571.0,5197040.0,5330629.0,5467770.0,5611643.0,5762881.0,5920360.0,6083417.0,6250840.0,6421674.0,6595939.0,6773807.0,6954721.0,7137997.0,7323162.0,7509952.0,7698476.0,7889095.0,8082359.0,Low income
Thailand,THA,63539190.0,64069093.0,64549867.0,64995303.0,65416189.0,65812540.0,66182064.0,66530980.0,66866834.0,67195032.0,67518379.0,67835969.0,68144519.0,68438748.0,68714519.0,68971313.0,69209817.0,69428454.0,69625581.0,High income
Tajikistan,TJK,6318510.0,6426861.0,6541550.0,6662391.0,6789318.0,6922590.0,7062667.0,7209924.0,7364752.0,7527397.0,7697507.0,7874838.0,8059782.0,8252828.0,8454019.0,8663575.0,8880270.0,9100847.0,9321023.0,Low income
Turkmenistan,TKM,4564087.0,4610018.0,4655752.0,4703396.0,4754652.0,4810114.0,4870142.0,4935765.0,5007953.0,5087211.0,5174076.0,5267906.0,5366376.0,5466324.0,5565283.0,5662371.0,5757667.0,5850902.0,5942094.0,High income
Timor-Leste,TLS,901214.0,922699.0,947110.0,971889.0,995130.0,1016437.0,1036388.0,1055428.0,1074286.0,1093517.0,1113154.0,1133002.0,1153288.0,1174333.0,1196294.0,1219289.0,1243260.0,1267975.0,1293120.0,Low income
Tonga,TON,98482.0,99023.0,99591.0,100214.0,100908.0,101714.0,102577.0,103384.0,103897.0,103981.0,103558.0,102736.0,101768.0,101023.0,100780.0,101143.0,102002.0,103199.0,104497.0,High income
Trinidad and Tobago,TTO,1271627.0,1277210.0,1283564.0,1290115.0,1296497.0,1302552.0,1308450.0,1314449.0,1320921.0,1328144.0,1336180.0,1344814.0,1353708.0,1362337.0,1370332.0,1377563.0,1384060.0,1389841.0,1394969.0,High income
Tunisia,TUN,9793915.0,9871261.0,9945282.0,10022278.0,10106778.0,10201211.0,10304729.0,10414425.0,10525691.0,10635245.0,10741872.0,10846993.0,10952949.0,11063195.0,11179951.0,11303942.0,11433438.0,11565203.0,11694721.0,Low income
Turkey,TUR,64192243.0,65145357.0,66089402.0,67010930.0,67903461.0,68756809.0,69581854.0,70418612.0,71321406.0,72326992.0,73443254.0,74651046.0,75925454.0,77229262.0,78529413.0,79827868.0,81116451.0,82340090.0,83429607.0,High income
